-0.320256 1.164836 -1.219273 -1.946767 2.251475 -1.144789 -2.111848
0.063717 0.606331 -1.219273 -1.911860 2.548181 -1.720747 -2.059489
-0.145723 0.745957 -1.393806 -1.964220 2.460914 -1.598574 -1.954769
-0.616962 0.396892 -1.219273 -1.353355 -0.628319 -0.970256 1.850049
-0.582055 0.623784 -1.219273 -1.178822 -0.715585 -1.109882 1.623156
-0.320256 0.222359 -1.149459 -0.567957 -0.471239 -1.371681 1.605703
-0.477335 0.414345 -1.219273 -0.951929 -0.541052 -1.179695 1.605703
-0.180629 -0.161614 -1.219273 -1.178822 -1.553343 -1.947640 -2.897247
0.098623 -0.161614 -1.219273 -0.934476 -1.658063 -1.947640 -2.879793
0.063717 -0.179067 -1.219273 -0.707583 -1.727876 -1.930187 3.124139
